method,dataset,distance,case_id,success,final_distance,path_length,optimal_steps,detour_steps,progress_ratio,monotonic_step_rate,regress_step_rate,immediate_backtrack_rate,revisit_rate,unique_coverage
GeoExplorer-pristine,swissviewmonuments,4,img223_d4_s11_g23_r0,True,0,8,4,4,1.0,0.75,0.25,0.14285714285714285,0.1111111111111111,0.8888888888888888
GeoExplorer-pristine,swissviewmonuments,6,img223_d6_s01_g23_r0,True,0,6,6,0,1.0,1.0,0.0,0.0,0.0,1.0
GeoExplorer-pristine,swissviewmonuments,4,img224_d4_s12_g24_r0,True,0,8,4,4,1.0,0.75,0.25,0.0,0.0,1.0
GeoExplorer-pristine,swissviewmonuments,6,img224_d6_s06_g24_r0,False,4,10,6,4,0.3333333333333333,0.6,0.4,0.2222222222222222,0.2727272727272727,0.7272727272727273
GeoExplorer-pristine,swissviewmonuments,8,img224_d8_s00_g24_r0,False,2,10,8,2,0.75,0.8,0.2,0.3333333333333333,0.2727272727272727,0.7272727272727273
GeoExplorer-pristine,swissviewmonuments,4,img225_d4_s04_g00_r0,False,6,10,4,6,-0.5,0.4,0.6,0.2222222222222222,0.2727272727272727,0.7272727272727273
GeoExplorer-pristine,swissviewmonuments,6,img225_d6_s18_g00_r0,False,4,10,6,4,0.3333333333333333,0.6,0.4,0.1111111111111111,0.09090909090909091,0.9090909090909091
GeoExplorer-pristine,swissviewmonuments,8,img225_d8_s24_g00_r0,False,4,10,8,2,0.5,0.7,0.3,0.0,0.0,1.0
GeoExplorer-pristine,swissviewmonuments,4,img226_d4_s13_g01_r0,False,4,10,4,6,0.0,0.5,0.5,0.0,0.0,1.0
GeoExplorer-pristine,swissviewmonuments,6,img226_d6_s23_g01_r0,True,0,8,6,2,1.0,0.875,0.125,0.0,0.0,1.0
GeoExplorer-pristine,swissviewmonuments,4,img227_d4_s10_g02_r0,False,2,10,4,6,0.5,0.6,0.4,0.1111111111111111,0.09090909090909091,0.9090909090909091
GeoExplorer-pristine,swissviewmonuments,6,img227_d6_s20_g02_r0,False,2,10,6,4,0.6666666666666666,0.7,0.3,0.2222222222222222,0.18181818181818182,0.8181818181818182
GeoExplorer-pristine,swissviewmonuments,4,img228_d4_s11_g03_r0,True,0,4,4,0,1.0,1.0,0.0,0.0,0.0,1.0
GeoExplorer-pristine,swissviewmonuments,6,img228_d6_s21_g03_r0,False,2,10,6,4,0.6666666666666666,0.7,0.3,0.3333333333333333,0.2727272727272727,0.7272727272727273
GeoExplorer-pristine,swissviewmonuments,4,img229_d4_s00_g04_r0,False,6,10,4,6,-0.5,0.4,0.6,0.3333333333333333,0.2727272727272727,0.7272727272727273
GeoExplorer-pristine,swissviewmonuments,6,img229_d6_s10_g04_r0,False,2,10,6,4,0.6666666666666666,0.7,0.3,0.3333333333333333,0.2727272727272727,0.7272727272727273
GeoExplorer-pristine,swissviewmonuments,8,img229_d8_s20_g04_r0,False,2,10,8,2,0.75,0.8,0.2,0.4444444444444444,0.36363636363636365,0.6363636363636364
GeoExplorer-pristine,swissviewmonuments,4,img230_d4_s21_g05_r0,False,4,10,4,6,0.0,0.5,0.5,0.1111111111111111,0.09090909090909091,0.9090909090909091
GeoExplorer-pristine,swissviewmonuments,6,img230_d6_s23_g05_r0,True,0,6,6,0,1.0,1.0,0.0,0.0,0.0,1.0
GeoExplorer-pristine,swissviewmonuments,4,img231_d4_s18_g06_r0,True,0,4,4,0,1.0,1.0,0.0,0.0,0.0,1.0
GeoExplorer-pristine,swissviewmonuments,6,img231_d6_s24_g06_r0,False,2,10,6,4,0.6666666666666666,0.7,0.3,0.0,0.0,1.0
GeoExplorer-pristine,swissviewmonuments,4,img232_d4_s15_g07_r0,True,0,4,4,0,1.0,1.0,0.0,0.0,0.0,1.0
GeoExplorer-pristine,swissviewmonuments,4,img233_d4_s24_g08_r0,False,4,10,4,6,0.0,0.5,0.5,0.3333333333333333,0.2727272727272727,0.7272727272727273
GeoExplorer-pristine,swissviewmonuments,6,img233_d6_s20_g08_r0,True,0,10,6,4,1.0,0.8,0.2,0.4444444444444444,0.36363636363636365,0.6363636363636364
GeoExplorer-pristine,swissviewmonuments,4,img234_d4_s11_g09_r0,False,4,10,4,6,0.0,0.5,0.5,0.4444444444444444,0.45454545454545453,0.5454545454545454
GeoExplorer-pristine,swissviewmonuments,6,img234_d6_s15_g09_r0,True,0,8,6,2,1.0,0.875,0.125,0.0,0.0,1.0
GeoExplorer-pristine,swissviewmonuments,4,img235_d4_s18_g10_r0,True,0,6,4,2,1.0,0.8333333333333334,0.16666666666666666,0.0,0.0,1.0
GeoExplorer-pristine,swissviewmonuments,6,img235_d6_s04_g10_r0,True,0,6,6,0,1.0,1.0,0.0,0.0,0.0,1.0
GeoExplorer-pristine,swissviewmonuments,4,img236_d4_s23_g11_r0,False,4,10,4,6,0.0,0.5,0.5,0.3333333333333333,0.36363636363636365,0.6363636363636364
GeoExplorer-pristine,swissviewmonuments,4,img237_d4_s24_g12_r0,False,4,10,4,6,0.0,0.5,0.5,0.1111111111111111,0.2727272727272727,0.7272727272727273
GeoExplorer-pristine,swissviewmonuments,4,img238_d4_s05_g13_r0,False,2,10,4,6,0.5,0.6,0.4,0.0,0.0,1.0
GeoExplorer-pristine,swissviewmonuments,4,img239_d4_s06_g14_r0,True,0,8,4,4,1.0,0.75,0.25,0.0,0.0,1.0
GeoExplorer-pristine,swissviewmonuments,6,img239_d6_s20_g14_r0,False,2,10,6,4,0.6666666666666666,0.7,0.3,0.1111111111111111,0.09090909090909091,0.9090909090909091
GeoExplorer-pristine,swissviewmonuments,4,img240_d4_s19_g15_r0,False,6,10,4,6,-0.5,0.4,0.6,0.1111111111111111,0.2727272727272727,0.7272727272727273
GeoExplorer-pristine,swissviewmonuments,6,img240_d6_s03_g15_r0,False,4,10,6,4,0.3333333333333333,0.6,0.4,0.0,0.0,1.0
GeoExplorer-pristine,swissviewmonuments,4,img241_d4_s00_g16_r0,False,4,10,4,6,0.0,0.5,0.5,0.1111111111111111,0.2727272727272727,0.7272727272727273
GeoExplorer-pristine,swissviewmonuments,6,img241_d6_s04_g16_r0,False,4,10,6,4,0.3333333333333333,0.6,0.4,0.1111111111111111,0.09090909090909091,0.9090909090909091
GeoExplorer-pristine,swissviewmonuments,4,img242_d4_s05_g17_r0,True,0,4,4,0,1.0,1.0,0.0,0.0,0.0,1.0
GeoExplorer-pristine,swissviewmonuments,4,img243_d4_s20_g18_r0,False,4,10,4,6,0.0,0.5,0.5,0.1111111111111111,0.09090909090909091,0.9090909090909091
GeoExplorer-pristine,swissviewmonuments,6,img243_d6_s00_g18_r0,True,0,6,6,0,1.0,1.0,0.0,0.0,0.0,1.0
GeoExplorer-pristine,swissviewmonuments,4,img244_d4_s15_g19_r0,False,2,10,4,6,0.5,0.6,0.4,0.2222222222222222,0.18181818181818182,0.8181818181818182
GeoExplorer-pristine,swissviewmonuments,6,img244_d6_s01_g19_r0,False,2,10,6,4,0.6666666666666666,0.7,0.3,0.4444444444444444,0.45454545454545453,0.5454545454545454
GeoExplorer-pristine,swissviewmonuments,4,img245_d4_s24_g20_r0,False,6,10,4,6,-0.5,0.4,0.6,0.4444444444444444,0.36363636363636365,0.6363636363636364
GeoExplorer-pristine,swissviewmonuments,6,img245_d6_s02_g20_r0,False,6,10,6,4,0.0,0.5,0.5,0.4444444444444444,0.45454545454545453,0.5454545454545454
GeoExplorer-pristine,swissviewmonuments,8,img245_d8_s04_g20_r0,True,0,8,8,0,1.0,1.0,0.0,0.0,0.0,1.0
GeoExplorer-pristine,swissviewmonuments,4,img246_d4_s01_g21_r0,False,6,10,4,6,-0.5,0.4,0.6,0.5555555555555556,0.5454545454545454,0.45454545454545453
GeoExplorer-pristine,swissviewmonuments,6,img246_d6_s09_g21_r0,False,4,10,6,4,0.3333333333333333,0.6,0.4,0.0,0.0,1.0
GeoExplorer-pristine,swissviewmonuments,4,img247_d4_s10_g22_r0,False,4,10,4,6,0.0,0.5,0.5,0.0,0.09090909090909091,0.9090909090909091
GeoExplorer-pristine,swissviewmonuments,6,img247_d6_s00_g22_r0,False,4,10,6,4,0.3333333333333333,0.6,0.4,0.0,0.0,1.0
GeoExplorer-pristine,swissviewmonuments,4,img248_d4_s11_g23_r0,False,6,10,4,6,-0.5,0.4,0.6,0.3333333333333333,0.45454545454545453,0.5454545454545454
GeoExplorer-pristine,swissviewmonuments,6,img248_d6_s05_g23_r0,False,4,10,6,4,0.3333333333333333,0.6,0.4,0.0,0.0,1.0
GeoExplorer-pristine,swissviewmonuments,4,img249_d4_s20_g24_r0,True,0,4,4,0,1.0,1.0,0.0,0.0,0.0,1.0
GeoExplorer-pristine,swissviewmonuments,6,img249_d6_s06_g24_r0,False,6,10,6,4,0.0,0.5,0.5,0.0,0.0,1.0
GeoExplorer-pristine,swissviewmonuments,8,img249_d8_s00_g24_r0,False,2,10,8,2,0.75,0.8,0.2,0.4444444444444444,0.36363636363636365,0.6363636363636364
GeoExplorer-pristine,swissviewmonuments,4,img250_d4_s20_g00_r0,False,4,10,4,6,0.0,0.5,0.5,0.1111111111111111,0.18181818181818182,0.8181818181818182
GeoExplorer-pristine,swissviewmonuments,6,img250_d6_s14_g00_r0,False,4,10,6,4,0.3333333333333333,0.6,0.4,0.3333333333333333,0.45454545454545453,0.5454545454545454
GeoExplorer-pristine,swissviewmonuments,8,img250_d8_s24_g00_r0,False,2,10,8,2,0.75,0.8,0.2,0.4444444444444444,0.36363636363636365,0.6363636363636364
GeoExplorer-pristine,swissviewmonuments,4,img251_d4_s09_g01_r0,False,4,10,4,6,0.0,0.5,0.5,0.2222222222222222,0.18181818181818182,0.8181818181818182
GeoExplorer-pristine,swissviewmonuments,6,img251_d6_s19_g01_r0,False,2,10,6,4,0.6666666666666666,0.7,0.3,0.4444444444444444,0.45454545454545453,0.5454545454545454
GeoExplorer-pristine,swissviewmonuments,4,img252_d4_s16_g02_r0,False,4,10,4,6,0.0,0.5,0.5,0.4444444444444444,0.36363636363636365,0.6363636363636364
GeoExplorer-pristine,swissviewmonuments,6,img252_d6_s24_g02_r0,True,0,6,6,0,1.0,1.0,0.0,0.0,0.0,1.0
GeoExplorer-pristine,swissviewmonuments,4,img253_d4_s19_g03_r0,True,0,4,4,0,1.0,1.0,0.0,0.0,0.0,1.0
GeoExplorer-pristine,swissviewmonuments,6,img253_d6_s15_g03_r0,True,0,6,6,0,1.0,1.0,0.0,0.0,0.0,1.0
GeoExplorer-pristine,swissviewmonuments,4,img254_d4_s06_g04_r0,False,4,10,4,6,0.0,0.5,0.5,0.3333333333333333,0.2727272727272727,0.7272727272727273
GeoExplorer-pristine,swissviewmonuments,6,img254_d6_s16_g04_r0,True,0,6,6,0,1.0,1.0,0.0,0.0,0.0,1.0
GeoExplorer-pristine,swissviewmonuments,8,img254_d8_s20_g04_r0,True,0,8,8,0,1.0,1.0,0.0,0.0,0.0,1.0
GeoExplorer-pristine,swissviewmonuments,4,img255_d4_s21_g05_r0,False,2,10,4,6,0.5,0.6,0.4,0.3333333333333333,0.2727272727272727,0.7272727272727273
GeoExplorer-pristine,swissviewmonuments,6,img255_d6_s19_g05_r0,False,4,10,6,4,0.3333333333333333,0.6,0.4,0.3333333333333333,0.36363636363636365,0.6363636363636364
GeoExplorer-pristine,swissviewmonuments,4,img256_d4_s20_g06_r0,False,4,10,4,6,0.0,0.5,0.5,0.0,0.0,1.0
GeoExplorer-pristine,swissviewmonuments,6,img256_d6_s24_g06_r0,True,0,6,6,0,1.0,1.0,0.0,0.0,0.0,1.0
GeoExplorer-pristine,swissviewmonuments,4,img257_d4_s19_g07_r0,False,2,10,4,6,0.5,0.6,0.4,0.6666666666666666,0.5454545454545454,0.45454545454545453
GeoExplorer-pristine,swissviewmonuments,4,img258_d4_s10_g08_r0,False,2,10,4,6,0.5,0.6,0.4,0.1111111111111111,0.09090909090909091,0.9090909090909091
GeoExplorer-pristine,swissviewmonuments,6,img258_d6_s20_g08_r0,False,2,10,6,4,0.6666666666666666,0.7,0.3,0.2222222222222222,0.18181818181818182,0.8181818181818182
GeoExplorer-pristine,swissviewmonuments,4,img259_d4_s01_g09_r0,False,2,10,4,6,0.5,0.6,0.4,0.1111111111111111,0.09090909090909091,0.9090909090909091
GeoExplorer-pristine,swissviewmonuments,6,img259_d6_s21_g09_r0,True,0,6,6,0,1.0,1.0,0.0,0.0,0.0,1.0
GeoExplorer-pristine,swissviewmonuments,4,img260_d4_s22_g10_r0,False,2,10,4,6,0.5,0.6,0.4,0.4444444444444444,0.36363636363636365,0.6363636363636364
GeoExplorer-pristine,swissviewmonuments,6,img260_d6_s04_g10_r0,False,6,10,6,4,0.0,0.5,0.5,0.4444444444444444,0.45454545454545453,0.5454545454545454
GeoExplorer-pristine,swissviewmonuments,4,img261_d4_s03_g11_r0,False,4,10,4,6,0.0,0.5,0.5,0.1111111111111111,0.2727272727272727,0.7272727272727273
GeoExplorer-pristine,swissviewmonuments,4,img262_d4_s20_g12_r0,False,2,10,4,6,0.5,0.6,0.4,0.1111111111111111,0.18181818181818182,0.8181818181818182
GeoExplorer-pristine,swissviewmonuments,4,img263_d4_s01_g13_r0,True,0,4,4,0,1.0,1.0,0.0,0.0,0.0,1.0
GeoExplorer-pristine,swissviewmonuments,4,img264_d4_s22_g14_r0,False,2,10,4,6,0.5,0.6,0.4,0.3333333333333333,0.2727272727272727,0.7272727272727273
GeoExplorer-pristine,swissviewmonuments,6,img264_d6_s20_g14_r0,False,2,10,6,4,0.6666666666666666,0.7,0.3,0.2222222222222222,0.18181818181818182,0.8181818181818182
GeoExplorer-pristine,swissviewmonuments,4,img265_d4_s01_g15_r0,False,4,10,4,6,0.0,0.5,0.5,0.3333333333333333,0.2727272727272727,0.7272727272727273
GeoExplorer-pristine,swissviewmonuments,6,img265_d6_s09_g15_r0,False,4,10,6,4,0.3333333333333333,0.6,0.4,0.6666666666666666,0.6363636363636364,0.36363636363636365
GeoExplorer-pristine,swissviewmonuments,4,img266_d4_s24_g16_r0,False,6,10,4,6,-0.5,0.4,0.6,0.4444444444444444,0.45454545454545453,0.5454545454545454
GeoExplorer-pristine,swissviewmonuments,6,img266_d6_s04_g16_r0,False,4,10,6,4,0.3333333333333333,0.6,0.4,0.5555555555555556,0.45454545454545453,0.5454545454545454
GeoExplorer-pristine,swissviewmonuments,4,img267_d4_s09_g17_r0,False,2,10,4,6,0.5,0.6,0.4,0.5555555555555556,0.5454545454545454,0.45454545454545453
GeoExplorer-pristine,swissviewmonuments,4,img268_d4_s04_g18_r0,False,2,10,4,6,0.5,0.6,0.4,0.0,0.0,1.0
GeoExplorer-pristine,swissviewmonuments,6,img268_d6_s00_g18_r0,False,2,10,6,4,0.6666666666666666,0.7,0.3,0.1111111111111111,0.18181818181818182,0.8181818181818182
GeoExplorer-pristine,swissviewmonuments,4,img269_d4_s21_g19_r0,False,2,10,4,6,0.5,0.6,0.4,0.3333333333333333,0.2727272727272727,0.7272727272727273
GeoExplorer-pristine,swissviewmonuments,6,img269_d6_s05_g19_r0,False,2,10,6,4,0.6666666666666666,0.7,0.3,0.4444444444444444,0.36363636363636365,0.6363636363636364
GeoExplorer-pristine,swissviewmonuments,4,img270_d4_s12_g20_r0,True,0,8,4,4,1.0,0.75,0.25,0.14285714285714285,0.1111111111111111,0.8888888888888888
GeoExplorer-pristine,swissviewmonuments,6,img270_d6_s14_g20_r0,False,2,10,6,4,0.6666666666666666,0.7,0.3,0.2222222222222222,0.18181818181818182,0.8181818181818182
GeoExplorer-pristine,swissviewmonuments,8,img270_d8_s04_g20_r0,True,0,8,8,0,1.0,1.0,0.0,0.0,0.0,1.0
GeoExplorer-pristine,swissviewmonuments,4,img271_d4_s07_g21_r0,True,0,6,4,2,1.0,0.8333333333333334,0.16666666666666666,0.0,0.0,1.0
GeoExplorer-pristine,swissviewmonuments,6,img271_d6_s03_g21_r0,True,0,8,6,2,1.0,0.875,0.125,0.0,0.0,1.0
GeoExplorer-pristine,swissviewmonuments,4,img272_d4_s08_g22_r0,True,0,6,4,2,1.0,0.8333333333333334,0.16666666666666666,0.0,0.0,1.0
GeoExplorer-pristine,swissviewmonuments,6,img272_d6_s00_g22_r0,False,2,10,6,4,0.6666666666666666,0.7,0.3,0.2222222222222222,0.18181818181818182,0.8181818181818182
GeoExplorer-pristine,swissviewmonuments,4,img273_d4_s07_g23_r0,True,0,6,4,2,1.0,0.8333333333333334,0.16666666666666666,0.0,0.0,1.0
GeoExplorer-pristine,swissviewmonuments,6,img273_d6_s01_g23_r0,False,2,10,6,4,0.6666666666666666,0.7,0.3,0.3333333333333333,0.2727272727272727,0.7272727272727273
GeoExplorer-pristine,swissviewmonuments,4,img274_d4_s12_g24_r0,False,4,10,4,6,0.0,0.5,0.5,0.4444444444444444,0.36363636363636365,0.6363636363636364
GeoExplorer-pristine,swissviewmonuments,6,img274_d6_s10_g24_r0,False,4,10,6,4,0.3333333333333333,0.6,0.4,0.0,0.0,1.0
GeoExplorer-pristine,swissviewmonuments,8,img274_d8_s00_g24_r0,False,2,10,8,2,0.75,0.8,0.2,0.4444444444444444,0.36363636363636365,0.6363636363636364
GeoExplorer-pristine,swissviewmonuments,4,img275_d4_s04_g00_r0,False,4,10,4,6,0.0,0.5,0.5,0.2222222222222222,0.18181818181818182,0.8181818181818182
GeoExplorer-pristine,swissviewmonuments,6,img275_d6_s14_g00_r0,False,2,10,6,4,0.6666666666666666,0.7,0.3,0.1111111111111111,0.18181818181818182,0.8181818181818182
GeoExplorer-pristine,swissviewmonuments,8,img275_d8_s24_g00_r0,False,2,10,8,2,0.75,0.8,0.2,0.1111111111111111,0.09090909090909091,0.9090909090909091
GeoExplorer-pristine,swissviewmonuments,4,img276_d4_s09_g01_r0,False,4,10,4,6,0.0,0.5,0.5,0.4444444444444444,0.36363636363636365,0.6363636363636364
GeoExplorer-pristine,swissviewmonuments,6,img276_d6_s23_g01_r0,False,4,10,6,4,0.3333333333333333,0.6,0.4,0.6666666666666666,0.6363636363636364,0.36363636363636365
GeoExplorer-pristine,swissviewmonuments,4,img277_d4_s14_g02_r0,False,4,10,4,6,0.0,0.5,0.5,0.4444444444444444,0.45454545454545453,0.5454545454545454
GeoExplorer-pristine,swissviewmonuments,6,img277_d6_s24_g02_r0,True,0,6,6,0,1.0,1.0,0.0,0.0,0.0,1.0
GeoExplorer-pristine,swissviewmonuments,4,img278_d4_s11_g03_r0,False,2,10,4,6,0.5,0.6,0.4,0.5555555555555556,0.45454545454545453,0.5454545454545454
GeoExplorer-pristine,swissviewmonuments,6,img278_d6_s15_g03_r0,False,4,10,6,4,0.3333333333333333,0.6,0.4,0.2222222222222222,0.18181818181818182,0.8181818181818182
GeoExplorer-pristine,swissviewmonuments,4,img279_d4_s00_g04_r0,False,4,10,4,6,0.0,0.5,0.5,0.2222222222222222,0.18181818181818182,0.8181818181818182
GeoExplorer-pristine,swissviewmonuments,6,img279_d6_s16_g04_r0,True,0,6,6,0,1.0,1.0,0.0,0.0,0.0,1.0
GeoExplorer-pristine,swissviewmonuments,8,img279_d8_s20_g04_r0,True,0,8,8,0,1.0,1.0,0.0,0.0,0.0,1.0
GeoExplorer-pristine,swissviewmonuments,4,img280_d4_s21_g05_r0,False,6,10,4,6,-0.5,0.4,0.6,0.0,0.0,1.0
GeoExplorer-pristine,swissviewmonuments,6,img280_d6_s19_g05_r0,True,0,8,6,2,1.0,0.875,0.125,0.0,0.0,1.0
GeoExplorer-pristine,swissviewmonuments,4,img281_d4_s22_g06_r0,True,0,10,4,6,1.0,0.7,0.3,0.2222222222222222,0.2727272727272727,0.7272727272727273
GeoExplorer-pristine,swissviewmonuments,6,img281_d6_s24_g06_r0,False,2,10,6,4,0.6666666666666666,0.7,0.3,0.0,0.0,1.0
GeoExplorer-pristine,swissviewmonuments,4,img282_d4_s15_g07_r0,True,0,4,4,0,1.0,1.0,0.0,0.0,0.0,1.0
GeoExplorer-pristine,swissviewmonuments,4,img283_d4_s16_g08_r0,True,0,4,4,0,1.0,1.0,0.0,0.0,0.0,1.0
GeoExplorer-pristine,swissviewmonuments,6,img283_d6_s20_g08_r0,False,2,10,6,4,0.6666666666666666,0.7,0.3,0.2222222222222222,0.18181818181818182,0.8181818181818182
GeoExplorer-pristine,swissviewmonuments,4,img284_d4_s23_g09_r0,False,4,10,4,6,0.0,0.5,0.5,0.2222222222222222,0.18181818181818182,0.8181818181818182
GeoExplorer-pristine,swissviewmonuments,6,img284_d6_s21_g09_r0,True,0,6,6,0,1.0,1.0,0.0,0.0,0.0,1.0
GeoExplorer-pristine,swissviewmonuments,4,img285_d4_s18_g10_r0,True,0,4,4,0,1.0,1.0,0.0,0.0,0.0,1.0
GeoExplorer-pristine,swissviewmonuments,6,img285_d6_s24_g10_r0,True,0,6,6,0,1.0,1.0,0.0,0.0,0.0,1.0
GeoExplorer-pristine,swissviewmonuments,4,img286_d4_s19_g11_r0,False,2,10,4,6,0.5,0.6,0.4,0.0,0.0,1.0
GeoExplorer-pristine,swissviewmonuments,4,img287_d4_s20_g12_r0,False,4,10,4,6,0.0,0.5,0.5,0.2222222222222222,0.18181818181818182,0.8181818181818182
GeoExplorer-pristine,swissviewmonuments,4,img288_d4_s01_g13_r0,False,2,10,4,6,0.5,0.6,0.4,0.0,0.0,1.0
GeoExplorer-pristine,swissviewmonuments,4,img289_d4_s22_g14_r0,False,2,10,4,6,0.5,0.6,0.4,0.3333333333333333,0.45454545454545453,0.5454545454545454
GeoExplorer-pristine,swissviewmonuments,6,img289_d6_s20_g14_r0,True,0,8,6,2,1.0,0.875,0.125,0.0,0.0,1.0
GeoExplorer-pristine,swissviewmonuments,4,img290_d4_s23_g15_r0,True,0,4,4,0,1.0,1.0,0.0,0.0,0.0,1.0
GeoExplorer-pristine,swissviewmonuments,6,img290_d6_s03_g15_r0,True,0,6,6,0,1.0,1.0,0.0,0.0,0.0,1.0
GeoExplorer-pristine,swissviewmonuments,4,img291_d4_s24_g16_r0,False,2,10,4,6,0.5,0.6,0.4,0.2222222222222222,0.2727272727272727,0.7272727272727273
GeoExplorer-pristine,swissviewmonuments,6,img291_d6_s04_g16_r0,False,2,10,6,4,0.6666666666666666,0.7,0.3,0.1111111111111111,0.18181818181818182,0.8181818181818182
GeoExplorer-pristine,swissviewmonuments,4,img292_d4_s03_g17_r0,False,2,10,4,6,0.5,0.6,0.4,0.0,0.0,1.0
GeoExplorer-pristine,swissviewmonuments,4,img293_d4_s06_g18_r0,True,0,4,4,0,1.0,1.0,0.0,0.0,0.0,1.0
GeoExplorer-pristine,swissviewmonuments,6,img293_d6_s00_g18_r0,True,0,6,6,0,1.0,1.0,0.0,0.0,0.0,1.0
GeoExplorer-pristine,swissviewmonuments,4,img294_d4_s21_g19_r0,False,6,10,4,6,-0.5,0.4,0.6,0.0,0.0,1.0
GeoExplorer-pristine,swissviewmonuments,6,img294_d6_s05_g19_r0,True,0,6,6,0,1.0,1.0,0.0,0.0,0.0,1.0
GeoExplorer-pristine,swissviewmonuments,4,img295_d4_s00_g20_r0,False,2,10,4,6,0.5,0.6,0.4,0.2222222222222222,0.18181818181818182,0.8181818181818182
GeoExplorer-pristine,swissviewmonuments,6,img295_d6_s14_g20_r0,False,2,10,6,4,0.6666666666666666,0.7,0.3,0.4444444444444444,0.36363636363636365,0.6363636363636364
GeoExplorer-pristine,swissviewmonuments,8,img295_d8_s04_g20_r0,True,0,8,8,0,1.0,1.0,0.0,0.0,0.0,1.0
GeoExplorer-pristine,swissviewmonuments,4,img296_d4_s05_g21_r0,False,2,10,4,6,0.5,0.6,0.4,0.2222222222222222,0.18181818181818182,0.8181818181818182
GeoExplorer-pristine,swissviewmonuments,6,img296_d6_s09_g21_r0,True,0,8,6,2,1.0,0.875,0.125,0.0,0.0,1.0
GeoExplorer-pristine,swissviewmonuments,4,img297_d4_s10_g22_r0,False,4,10,4,6,0.0,0.5,0.5,0.5555555555555556,0.45454545454545453,0.5454545454545454
GeoExplorer-pristine,swissviewmonuments,6,img297_d6_s00_g22_r0,False,2,10,6,4,0.6666666666666666,0.7,0.3,0.3333333333333333,0.2727272727272727,0.7272727272727273
GeoExplorer-pristine,swissviewmonuments,4,img298_d4_s03_g23_r0,False,2,10,4,6,0.5,0.6,0.4,0.2222222222222222,0.18181818181818182,0.8181818181818182
GeoExplorer-pristine,swissviewmonuments,6,img298_d6_s01_g23_r0,False,2,10,6,4,0.6666666666666666,0.7,0.3,0.0,0.0,1.0
GeoExplorer-pristine,swissviewmonuments,4,img299_d4_s12_g24_r0,False,2,10,4,6,0.5,0.6,0.4,0.0,0.0,1.0
GeoExplorer-pristine,swissviewmonuments,6,img299_d6_s06_g24_r0,True,0,6,6,0,1.0,1.0,0.0,0.0,0.0,1.0
GeoExplorer-pristine,swissviewmonuments,8,img299_d8_s00_g24_r0,True,0,8,8,0,1.0,1.0,0.0,0.0,0.0,1.0
GeoExplorer-pristine,swissviewmonuments,4,img300_d4_s16_g00_r0,False,2,10,4,6,0.5,0.6,0.4,0.2222222222222222,0.18181818181818182,0.8181818181818182
GeoExplorer-pristine,swissviewmonuments,6,img300_d6_s18_g00_r0,True,0,6,6,0,1.0,1.0,0.0,0.0,0.0,1.0
GeoExplorer-pristine,swissviewmonuments,8,img300_d8_s24_g00_r0,False,4,10,8,2,0.5,0.7,0.3,0.4444444444444444,0.45454545454545453,0.5454545454545454
GeoExplorer-pristine,swissviewmonuments,4,img301_d4_s21_g01_r0,False,2,10,4,6,0.5,0.6,0.4,0.1111111111111111,0.09090909090909091,0.9090909090909091
GeoExplorer-pristine,swissviewmonuments,6,img301_d6_s23_g01_r0,False,2,10,6,4,0.6666666666666666,0.7,0.3,0.0,0.0,1.0
GeoExplorer-pristine,swissviewmonuments,4,img302_d4_s18_g02_r0,True,0,8,4,4,1.0,0.75,0.25,0.0,0.0,1.0
GeoExplorer-pristine,swissviewmonuments,6,img302_d6_s20_g02_r0,False,4,10,6,4,0.3333333333333333,0.6,0.4,0.3333333333333333,0.2727272727272727,0.7272727272727273
GeoExplorer-pristine,swissviewmonuments,4,img303_d4_s17_g03_r0,True,0,6,4,2,1.0,0.8333333333333334,0.16666666666666666,0.0,0.0,1.0
GeoExplorer-pristine,swissviewmonuments,6,img303_d6_s21_g03_r0,True,0,6,6,0,1.0,1.0,0.0,0.0,0.0,1.0
GeoExplorer-pristine,swissviewmonuments,4,img304_d4_s06_g04_r0,False,8,10,4,6,-1.0,0.3,0.7,0.2222222222222222,0.18181818181818182,0.8181818181818182
GeoExplorer-pristine,swissviewmonuments,6,img304_d6_s10_g04_r0,False,8,10,6,4,-0.3333333333333333,0.4,0.6,0.1111111111111111,0.09090909090909091,0.9090909090909091
GeoExplorer-pristine,swissviewmonuments,8,img304_d8_s20_g04_r0,True,0,8,8,0,1.0,1.0,0.0,0.0,0.0,1.0
GeoExplorer-pristine,swissviewmonuments,4,img305_d4_s17_g05_r0,True,0,4,4,0,1.0,1.0,0.0,0.0,0.0,1.0
GeoExplorer-pristine,swissviewmonuments,6,img305_d6_s19_g05_r0,True,0,6,6,0,1.0,1.0,0.0,0.0,0.0,1.0
GeoExplorer-pristine,swissviewmonuments,4,img306_d4_s18_g06_r0,True,0,10,4,6,1.0,0.7,0.3,0.3333333333333333,0.2727272727272727,0.7272727272727273
GeoExplorer-pristine,swissviewmonuments,6,img306_d6_s24_g06_r0,False,4,10,6,4,0.3333333333333333,0.6,0.4,0.4444444444444444,0.45454545454545453,0.5454545454545454
GeoExplorer-pristine,swissviewmonuments,4,img307_d4_s21_g07_r0,False,2,10,4,6,0.5,0.6,0.4,0.2222222222222222,0.18181818181818182,0.8181818181818182
GeoExplorer-pristine,swissviewmonuments,4,img308_d4_s16_g08_r0,True,0,4,4,0,1.0,1.0,0.0,0.0,0.0,1.0
